ID,Alignment,Parameter,Value
001,Instrument.Alignments.Optics.MdDeflACF,Y,1.338112056937e-01
001,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
001,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
001,Instrument.Alignments.Optics.MdACRotLow,Y,-1.033549992537e-03
001,Instrument.Alignments.Detectors.TLD.Push,,-1.422609892380e+02
001,Instrument.Alignments.Optics.MdDeflDC1,X,1.458026577705e-01
001,Instrument.Alignments.Optics.MdHRpar4,,2.046565595034e-05
001,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.613985729988e+00
001,Instrument.Alignments.Optics.MdHRSatPar1,,-2.441970330864e+01
028,Instrument.Alignments.Optics.MdTLDAlign,X,-8.812500000000e-02
028,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-7.849979748064e-05
028,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.548689173929e-02
028,Instrument.Alignments.Optics.MdSShiftTube3,Y,-1.412800416178e+00
028,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,7.916666666667e-04
028,Instrument.Alignments.Optics.MdSImRotCheb1,,3.557273726903e-01
028,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.324792140893e-01
028,Instrument.Alignments.Optics.MdDeflACF,Y,1.377991881500e-01
028,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
028,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
028,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
028,Instrument.Alignments.Detectors.TLD.Push,,-1.562000000000e+02
028,Instrument.Alignments.Optics.MdDeflDC1,X,1.418153378943e-01
028,Instrument.Alignments.Optics.MdHRpar4,,-1.683587792227e-05
028,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.608164478467e+00
028,Instrument.Alignments.Optics.MdHRSatPar1,,-2.310348655160e+01
020,Instrument.Alignments.Optics.MdTLDAlign,X,-6.093750000000e-02
020,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.065000000000e-04
020,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-3.608947636056e-02
020,Instrument.Alignments.Optics.MdSShiftTube3,Y,-8.966459918434e+01
020,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-1.130467634291e-04
020,Instrument.Alignments.Optics.MdSImRotCheb1,,3.543858167521e-01
