ID,Alignment,Parameter,Value
028,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
028,Instrument.Alignments.Optics.MdHRSatPar1,,-2.440071312208e+01
020,Instrument.Alignments.Optics.MdTLDAlign,X,-5.625000000000e-02
020,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,0.000000000000e+00
020,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,0.000000000000e+00
020,Instrument.Alignments.Optics.MdSShiftTube3,Y,0.000000000000e+00
020,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,0.000000000000e+00
020,Instrument.Alignments.Optics.MdSImRotCheb1,,2.681000000000e-01
020,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
020,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
020,Instrument.Alignments.Optics.MdACRotUpp,Y,0.000000000000e+00
020,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
020,Instrument.Alignments.Optics.MdACRotLow,Y,0.000000000000e+00
020,Instrument.Alignments.Detectors.TLD.Push,,-1.568949341643e+02
020,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
020,Instrument.Alignments.Optics.MdHRpar4,,6.540000000000e-05
020,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.576900000000e+00
020,Instrument.Alignments.Optics.MdHRSatPar1,,-1.830000000000e+01
027,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
027,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,5.762620000000e-05
027,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.955340000000e-02
027,Instrument.Alignments.Optics.MdSShiftTube3,Y,5.746864002361e+01
027,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-4.083330000000e-04
027,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
027,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
027,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
027,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
027,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
027,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
027,Instrument.Alignments.Detectors.TLD.Push,,-1.813036630356e+02
027,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
027,Instrument.Alignments.Optics.MdHRpar4,,-8.590208699252e-06
027,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
027,Instrument.Alignments.Optics.MdHRSatPar1,,-2.440071312208e+01
024,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
024,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.676160000000e-05
024,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.144680000000e-02
024,Instrument.Alignments.Optics.MdSShiftTube3,Y,-1.428198744664e+01
024,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-2.875000000000e-04
024,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
024,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
024,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
